filename,width,height,class,xmin,ymin,xmax,ymax
929.png,160,60,Э,39,14,56,39
929.png,160,60,Р,57,14,76,39
929.png,160,60,А,73,17,93,38
929.png,160,60,Х,90,21,102,41
929.png,160,60,Я,98,22,115,46
1136.png,160,60,П,35,25,54,49
1136.png,160,60,М,54,25,73,48
1136.png,160,60,Ш,74,27,92,48
1136.png,160,60,Б,90,25,108,46
1136.png,160,60,Е,106,23,125,47
367.png,160,60,А,33,26,55,49
367.png,160,60,П,54,29,76,50
367.png,160,60,О,78,29,92,49
367.png,160,60,И,94,31,112,51
367.png,160,60,З,113,27,126,49
131.png,160,60,М,34,22,52,41
131.png,160,60,С,51,22,63,42
131.png,160,60,О,61,25,74,46
131.png,160,60,Ф,77,22,90,51
131.png,160,60,Ю,92,17,120,49
1096.png,160,60,С,44,23,58,44
1096.png,160,60,Х,54,24,72,41
1096.png,160,60,Н,69,24,86,45
1096.png,160,60,Х,86,26,105,44
1096.png,160,60,Б,104,24,120,43
72.png,160,60,Т,34,17,49,37
72.png,160,60,Н,50,16,65,41
72.png,160,60,С,68,15,93,45
72.png,160,60,Ш,96,19,116,44
72.png,160,60,О,115,22,126,39
591.png,160,60,С,41,17,52,35
591.png,160,60,П,51,18,61,36
591.png,160,60,Щ,63,13,84,39
591.png,160,60,З,81,11,98,39
591.png,160,60,Х,100,14,122,38
1276.png,160,60,Щ,27,21,52,48
1276.png,160,60,К,54,17,68,46
1276.png,160,60,В,65,15,84,47
1276.png,160,60,Т,83,11,103,45
1276.png,160,60,П,105,15,134,47
572.png,160,60,Ш,34,21,54,41
572.png,160,60,З,58,23,69,43
572.png,160,60,П,69,24,82,41
572.png,160,60,Ж,83,19,102,39
572.png,160,60,О,102,17,122,35
1257.png,160,60,З,36,16,49,39
1257.png,160,60,А,47,17,70,46
1257.png,160,60,П,66,22,85,46
1257.png,160,60,Я,83,24,97,50
1257.png,160,60,Ч,99,23,117,51
305.png,160,60,С,35,13,54,36
305.png,160,60,Ч,55,14,72,34
305.png,160,60,Ш,73,17,96,35
305.png,160,60,З,96,22,108,38
305.png,160,60,В,108,23,121,40
1211.png,160,60,Щ,37,18,65,43
1211.png,160,60,Э,63,18,78,40
1211.png,160,60,Б,78,19,90,41
1211.png,160,60,П,89,20,105,41
1211.png,160,60,С,105,24,122,44
267.png,160,60,Ш,32,19,49,41
267.png,160,60,М,45,16,67,43
267.png,160,60,Р,68,14,92,44
267.png,160,60,А,96,14,122,46
267.png,160,60,Г,125,14,139,39
392.png,160,60,У,51,24,69,47
392.png,160,60,Н,71,22,83,44
392.png,160,60,Б,80,22,92,42
392.png,160,60,З,90,20,100,41
392.png,160,60,З,98,18,115,39
180.png,160,60,Я,30,12,50,45
180.png,160,60,Т,51,11,70,36
180.png,160,60,Р,69,7,91,39
180.png,160,60,П,90,7,109,36
180.png,160,60,З,108,8,121,32
1201.png,160,60,Н,29,21,48,41
1201.png,160,60,С,47,24,64,41
1201.png,160,60,Д,62,24,81,43
1201.png,160,60,Щ,79,21,103,44
1201.png,160,60,М,100,22,123,44
396.png,160,60,С,38,19,49,36
396.png,160,60,Э,49,19,67,41
396.png,160,60,З,67,19,88,43
396.png,160,60,И,88,25,101,42
396.png,160,60,Ф,105,21,117,41
871.png,160,60,Щ,32,16,56,43
871.png,160,60,Б,56,17,69,41
871.png,160,60,А,64,17,82,39
871.png,160,60,Ш,83,13,107,34
871.png,160,60,Е,108,18,125,38
671.png,160,60,Б,29,16,50,50
671.png,160,60,Я,50,10,72,46
671.png,160,60,А,72,7,86,40
671.png,160,60,Д,88,9,108,39
671.png,160,60,Х,108,9,127,33
843.png,160,60,И,26,23,45,53
843.png,160,60,С,46,24,65,58
843.png,160,60,М,67,22,95,56
843.png,160,60,П,91,20,108,50
843.png,160,60,О,108,20,123,46
458.png,160,60,Г,39,22,51,43
458.png,160,60,Т,51,24,66,45
458.png,160,60,Л,64,26,87,45
458.png,160,60,С,86,25,103,47
458.png,160,60,Ш,104,24,127,44
686.png,160,60,Т,30,10,46,34
686.png,160,60,В,48,10,62,32
686.png,160,60,И,68,7,85,29
686.png,160,60,О,90,4,115,28
686.png,160,60,Т,117,9,133,25
1261.png,160,60,Э,36,19,45,39
1261.png,160,60,Н,47,23,56,41
1261.png,160,60,Х,56,22,69,44
1261.png,160,60,Ш,70,24,94,48
1261.png,160,60,Д,96,31,124,56
991.png,160,60,М,29,15,49,35
991.png,160,60,Ю,47,9,64,34
991.png,160,60,С,64,6,81,31
991.png,160,60,Б,81,4,100,34
991.png,160,60,С,101,2,124,31
858.png,160,60,Х,33,20,46,41
858.png,160,60,Т,45,15,60,36
858.png,160,60,Ф,58,13,73,41
858.png,160,60,Ш,71,15,105,44
858.png,160,60,Ф,108,15,133,52
662.png,160,60,Ч,26,9,44,30
662.png,160,60,Л,39,1,61,24
662.png,160,60,Ч,65,1,88,17
662.png,160,60,А,94,1,120,24
662.png,160,60,П,117,7,132,26
1268.png,160,60,И,34,12,66,50
1268.png,160,60,Б,66,9,89,49
1268.png,160,60,И,86,13,103,43
1268.png,160,60,З,103,14,115,39
1268.png,160,60,У,110,15,128,39
393.png,160,60,У,50,24,71,49
393.png,160,60,Н,71,20,83,44
393.png,160,60,Б,83,20,92,44
393.png,160,60,З,89,19,100,39
393.png,160,60,З,99,19,111,37
542.png,160,60,Ш,25,21,40,40
542.png,160,60,Щ,42,23,65,49
542.png,160,60,П,63,24,81,48
542.png,160,60,Щ,84,25,113,56
542.png,160,60,Ч,112,27,139,59
1227.png,160,60,Т,39,14,56,44
1227.png,160,60,Ж,52,14,76,44
1227.png,160,60,Г,76,19,88,46
1227.png,160,60,Т,87,23,102,48
1227.png,160,60,Т,98,21,120,49
1300.png,160,60,З,34,28,51,56
1300.png,160,60,У,47,28,69,58
1300.png,160,60,Х,67,29,90,56
1300.png,160,60,Г,90,27,108,53
1300.png,160,60,Т,103,29,122,53
664.png,160,60,Е,35,23,47,44
664.png,160,60,Е,49,24,61,44
664.png,160,60,Х,59,29,73,49
664.png,160,60,Т,73,30,89,50
664.png,160,60,Ж,89,31,116,57
