filename,width,height,class,xmin,ymin,xmax,ymax
367.png,160,60,Қ,16,14,40,34
367.png,160,60,К,39,12,57,33
367.png,160,60,Ж,53,15,88,41
367.png,160,60,Г,85,18,99,42
367.png,160,60,П,99,19,121,42
367.png,160,60,Т,120,21,144,44
131.png,160,60,Ю,10,22,30,39
131.png,160,60,Ң,29,20,46,45
131.png,160,60,Ч,48,14,78,42
131.png,160,60,Е,81,12,109,42
131.png,160,60,Ж,105,15,138,41
131.png,160,60,А,137,22,153,41
305.png,160,60,Ж,5,17,35,42
305.png,160,60,С,35,13,59,41
305.png,160,60,Е,61,15,80,43
305.png,160,60,М,83,18,108,40
305.png,160,60,Ө,110,17,122,39
305.png,160,60,О,124,15,144,40
267.png,160,60,А,10,24,28,43
267.png,160,60,К,29,24,50,45
267.png,160,60,Ю,51,24,78,45
267.png,160,60,Ә,80,25,104,50
267.png,160,60,Л,106,27,132,50
267.png,160,60,Е,132,24,151,47
392.png,160,60,С,20,27,43,47
392.png,160,60,Б,40,28,56,48
392.png,160,60,О,57,30,77,50
392.png,160,60,Ә,78,30,98,50
392.png,160,60,З,99,27,117,50
392.png,160,60,Е,119,25,140,50
180.png,160,60,Э,17,21,35,40
180.png,160,60,Ф,35,22,61,42
180.png,160,60,Ң,64,22,88,45
180.png,160,60,Э,89,23,108,40
180.png,160,60,Р,108,21,121,39
180.png,160,60,Е,120,21,137,37
396.png,160,60,Р,2,21,23,45
396.png,160,60,Ө,27,16,57,46
396.png,160,60,Ю,59,16,102,46
396.png,160,60,В,103,20,116,44
396.png,160,60,К,117,20,129,44
396.png,160,60,Р,129,18,141,40
458.png,160,60,И,15,22,38,42
458.png,160,60,Ә,38,21,54,41
458.png,160,60,Т,55,19,75,39
458.png,160,60,Б,75,17,96,40
458.png,160,60,Ж,97,16,122,35
458.png,160,60,Г,122,15,141,35
393.png,160,60,Р,17,20,41,41
393.png,160,60,Э,43,17,67,40
393.png,160,60,Т,64,20,82,39
393.png,160,60,Е,82,21,99,42
393.png,160,60,Қ,99,20,113,41
393.png,160,60,Ф,112,18,133,38
542.png,160,60,Ғ,98,16,124,39
445.png,160,60,Щ,15,19,51,46
445.png,160,60,А,53,20,76,48
445.png,160,60,Х,73,23,90,46
445.png,160,60,Ң,90,24,108,49
445.png,160,60,Э,105,23,122,45
445.png,160,60,Г,122,20,141,45
482.png,160,60,Г,30,20,45,37
482.png,160,60,Х,44,18,63,36
482.png,160,60,Д,66,20,84,39
482.png,160,60,Я,84,21,99,37
482.png,160,60,І,100,22,108,38
482.png,160,60,К,107,24,129,41
502.png,160,60,Ү,81,17,106,36
313.png,160,60,Ф,13,18,30,38
313.png,160,60,Ю,30,19,61,44
313.png,160,60,Ң,64,24,91,48
313.png,160,60,Д,93,20,115,50
313.png,160,60,Т,114,21,136,43
313.png,160,60,Я,134,20,150,40
199.png,160,60,Б,8,23,30,45
199.png,160,60,Ә,31,23,56,45
199.png,160,60,М,59,23,87,45
199.png,160,60,К,89,24,109,46
199.png,160,60,Н,111,27,132,45
199.png,160,60,Я,129,25,145,45
459.png,160,60,А,19,15,37,32
459.png,160,60,И,36,13,54,28
459.png,160,60,И,55,10,74,28
459.png,160,60,А,75,10,102,29
459.png,160,60,Қ,104,9,130,33
459.png,160,60,П,126,13,149,32
1014.png,160,60,Ү,100,18,117,39
168.png,160,60,Ч,16,16,35,36
168.png,160,60,Я,33,16,56,33
168.png,160,60,Э,57,15,80,33
168.png,160,60,Г,82,17,96,31
168.png,160,60,Ң,97,17,116,39
168.png,160,60,Ж,113,19,138,38
1039.png,160,60,Ө,53,19,70,39
203.png,160,60,Ф,21,24,48,45
203.png,160,60,С,50,26,71,44
203.png,160,60,В,71,29,84,43
203.png,160,60,І,85,28,93,42
203.png,160,60,К,92,26,110,42
203.png,160,60,М,111,24,133,41
368.png,160,60,Ұ,9,21,27,40
368.png,160,60,А,28,18,61,42
368.png,160,60,В,58,20,81,44
368.png,160,60,О,79,25,104,48
368.png,160,60,Г,105,25,123,45
368.png,160,60,М,123,22,150,45
189.png,160,60,У,23,20,39,36
189.png,160,60,Э,39,20,57,37
189.png,160,60,Д,57,23,74,44
189.png,160,60,Ә,70,25,89,43
189.png,160,60,Е,89,27,112,47
189.png,160,60,П,113,25,140,48
183.png,160,60,М,18,24,39,44
183.png,160,60,Ғ,36,27,56,45
183.png,160,60,Б,57,26,80,48
183.png,160,60,Т,78,26,100,46
183.png,160,60,О,100,27,125,44
183.png,160,60,Ч,127,25,145,38
520.png,160,60,Ү,28,21,46,38
1047.png,160,60,Қ,9,13,29,40
105.png,160,60,Ғ,15,24,36,38
105.png,160,60,Щ,37,23,64,40
105.png,160,60,Щ,65,21,91,39
105.png,160,60,Г,92,21,104,36
105.png,160,60,Т,104,23,122,38
